Model,Band_Selection,N_Bands,OA,AA,Kappa
0.70889807,0.9189381,0.71043897,0.36103708,0.42449784,0.89979184
-1.5642477,-1.8394843,-2.4210868,-2.588152,-2.6006384,-2.3033504
-0.9297235,-1.0487791,-0.6386667,-0.15726936,-0.21850541,-0.95854425
-0.7530893,-0.6901417,-0.21221213,0.13697313,0.085302845,-0.6119116
-1.5696826,-1.6202579,-1.94204,-2.199211,-2.267485,-2.1171958
-0.25307873,-0.13994704,-0.18134277,-0.39655277,-0.33761206,0.2899752
0.4330771,0.35810146,-0.3036769,-0.6527466,-0.74844366,-0.15615386
-1.0655959,-1.4691405,-1.3818182,-1.0112491,-0.95213324,-1.3148055
-0.13486971,-0.18145108,0.031312894,0.2333629,0.41327766,0.26108912
2.8189971,2.9132607,2.584324,2.5314982,2.3250256,2.1001678
-0.45281118,-0.31447688,-0.23507832,0.0355102,0.021434061,-0.22676422
0.4276422,0.9710842,1.0111295,1.0729686,0.8525913,0.72647554
1.1015694,1.0445144,0.78475416,0.32214296,0.53756285,1.3683878
-0.38895115,-0.38365027,0.08276184,0.323834,0.23548079,-0.5027865
0.40726134,0.15803069,-0.071585,-0.25704125,-0.17448774,0.37663335
0.6232985,0.85721415,0.7641746,0.41261408,0.52979505,0.9543544
-0.22046934,0.1590949,0.024453035,-0.097237125,-0.21418996,0.10061105
0.6844411,0.51241136,0.8533527,0.87004274,1.0890784,0.723266
0.29992208,0.51241136,-0.0944512,-0.29255328,-0.35660008,-0.07912439
0.34068382,0.30382693,0.09876818,-0.11583866,0.019707879,0.64944607
-1.71099,-1.8650253,-2.4873989,-2.765712,-2.7499533,-2.2808836
0.37601066,0.052674275,-0.68897235,-0.99264747,-1.0781447,-0.053447895
0.47655627,0.3793856,0.7961872,0.9579773,1.0303882,0.62056
-1.3685914,-1.569176,-2.1684153,-2.3632426,-2.3563836,-1.9599274
2.0431654,2.647209,2.252764,2.1586218,1.9944614,2.3729806
0.0553517,0.06331634,-0.11503077,-0.30523613,-0.158089,0.4793393
0.86786884,0.61776775,0.68299955,0.6848729,0.8344664,0.72647554
-0.14845695,0.22294727,-0.061295208,-0.21222845,-0.24785054,0.11986842
-0.3291673,-0.3038348,-0.5540618,-0.70432365,-0.6077597,0.071725
0.6830824,0.5017693,1.1631898,1.4779748,1.4645233,0.6815417
0.7360726,0.54646593,0.8659291,1.1067896,1.1633043,0.64302695
3.3801503,3.4464278,3.155979,2.8122122,2.4251442,1.6829249
0.57166696,0.45813683,0.42003828,0.18009487,0.29934958,0.89979184
-0.30471024,-0.10057142,0.23710868,0.4168417,0.23548079,-0.4032901
-0.7680353,-0.5081624,0.3411499,0.71953946,0.6126518,-0.44822395
-1.5234859,-1.6255789,-1.9363235,-2.0470164,-2.1561463,-2.0562143
-0.121282466,0.12078348,-0.15276001,-0.3043906,-0.3738619,0.47292018
-1.5710413,-1.7043301,-2.3582048,-2.586461,-2.6360252,-2.2102733
-1.5751175,-1.8245854,-2.4336634,-2.6549485,-2.6964417,-2.2166924
-0.67835945,-0.8359379,-0.6203737,-0.11330209,-0.16067828,-0.43217614
0.40862006,0.18144323,-0.396285,-0.5825681,-0.7052891,-0.13047737
0.714333,0.66884965,0.59153473,0.35511842,0.66184807,1.1244612
-0.424278,-0.5784,-1.3452322,-1.5938153,-1.6029043,-0.9071913
0.64096195,0.37512875,0.58124495,0.6874095,0.84309727,0.4215672
-0.3481894,-0.028205397,0.23139212,0.14542837,0.14830853,-0.22676422
-0.38487497,0.11865506,0.28855762,0.12598132,0.10946941,-0.28453633
1.123309,0.97427684,0.8659291,0.47433737,0.6635742,1.2913584
-0.23677404,0.070765786,0.63269395,1.0256193,0.85518056,-0.12726781
-0.542487,-0.7220679,-0.429441,-0.14881411,-0.0855893,-0.51562476
-0.32780856,-0.08247991,-0.29338712,-0.3635773,-0.3341597,0.32528037
-0.22862169,-0.1995426,-0.40543148,-0.60116965,-0.63710487,0.15196404
-1.4704957,-1.621322,-2.1992848,-2.419047,-2.4582283,-2.174968
0.50101334,0.5613648,0.37087595,0.061721463,0.27431992,0.8388102
-0.808797,-0.9008545,-0.3951417,0.13359104,0.013666238,-0.6279594
0.38144556,0.37300035,0.14107065,-0.07525349,0.04560063,0.64944607
-1.0615197,-1.3073813,-1.0411118,-0.5208448,-0.54389095,-1.077298
0.045840632,-0.29851377,-0.08073148,0.045656495,0.17592746,0.15838316
0.1450275,0.18676426,-0.06701176,-0.3077727,-0.20555905,0.40230983
0.9480336,0.7146105,1.0888746,1.3705932,1.4023807,0.82597196
-0.64167386,-0.670986,-0.4980396,-0.17164327,-0.21850541,-0.3358893
1.1939627,1.2903461,0.98712,0.8311487,0.74470484,1.5031894
0.18578924,-0.011178097,0.06446888,0.15811124,0.30884358,0.2386222
0.006437626,0.1431318,0.10219811,0.23251738,0.20009403,0.47612974
-1.1022815,-0.9232029,-0.25680122,0.30015934,-0.02776216,-1.2249378
0.9874366,0.7241884,1.1323204,1.1084806,1.188334,0.8933727
0.7550947,1.129651,1.1368936,1.1490657,0.9475314,0.8323911
1.059449,0.97959787,0.79847383,0.39739463,0.6454493,1.4486269
-0.91070133,-0.97854155,-0.19163255,0.52084124,0.46333697,-0.8205331
-0.5601504,-0.7614435,-1.2126083,-1.3426946,-1.3232627,-0.98422074
-0.45145246,-0.33256838,0.24854177,0.71192974,0.54705685,-0.48994824
-1.6036507,-1.8203286,-2.417657,-2.6160543,-2.6299834,-2.1653392
-1.5166923,-1.6223862,-1.8597217,-2.0022037,-2.1699557,-2.059424
-0.8468413,-0.9263955,-0.80330336,-0.49970672,-0.43427834,-0.6054925
1.4358157,1.2711904,1.1151707,0.617231,0.84654963,1.3619688
-0.22182807,-0.01330651,-0.21678537,-0.27733383,-0.33933824,0.37021422
-1.5995744,-1.8458695,-2.4553862,-2.6338103,-2.6273942,-2.2744644
1.8339219,1.3903815,1.2443647,1.0442208,1.1011617,1.1790237
-0.36992902,-0.49432772,-0.54720193,-0.4675768,-0.47570673,-0.3037937
0.4059026,0.1431318,0.3434365,0.5529711,0.61437804,0.24183176
0.20617011,-0.060131583,0.103341416,0.23082632,0.33473632,0.2899752
0.44802305,0.3283037,0.17994317,0.1183716,0.2121773,0.6462365
-0.6471088,-0.3378894,0.29198754,0.77618957,0.6350922,-0.45785263
-1.4473974,-1.6532482,-2.0517979,-2.2634706,-2.3020086,-2.1428723
-0.83325404,-1.0253667,-0.7152685,-0.19954558,-0.11838679,-0.6054925
-0.3971035,-0.12717657,0.22338895,0.67557216,0.5729496,-0.43859527
0.9874366,0.64224446,0.90251505,0.9359936,1.0070847,0.78424764
0.12872282,-0.15591013,-0.89362484,-1.1566793,-1.2542154,-0.21713553
-0.75580674,-0.79230547,-0.5677815,-0.18770823,-0.07350601,-0.59907335
1.2646164,1.1126237,0.9402443,0.53183305,0.8344664,1.586638
-0.26666597,-0.58265686,-0.27395087,-0.08709083,0.09134448,-0.20750685
-1.0710309,-1.264813,-0.80444664,-0.2003911,-0.21418996,-1.077298
0.6966696,0.5837131,0.45662418,0.20461509,0.36321834,0.8323911
-1.4242991,-1.3722978,-1.8368555,-1.996285,-2.0836465,-1.9535083
-0.41204944,-0.14207546,0.21424247,0.36611024,0.14226688,-0.66647416
-0.073727116,0.042032212,0.5846749,1.0408387,0.925091,-0.16578254
-0.4038971,0.032454357,0.28055444,0.22152556,0.24238552,-0.24602158
0.57574314,0.49751246,-0.15733325,-0.41346326,-0.56805754,0.2899752
0.2550842,0.09524252,-0.5906477,-0.85398144,-0.9486809,-0.27490765
-1.1009227,-1.4691405,-1.1291467,-0.6163891,-0.5274922,-1.28271
-0.6579786,-0.4730436,0.09190832,0.39908567,0.17420128,-0.89114344
0.25916037,0.6454371,0.5366559,0.6062392,0.5919376,0.84843886
0.7618883,0.5326313,0.8956552,1.0163184,1.1762507,0.7425234
-0.56150913,-0.035654843,0.07590198,0.03128258,-0.01654197,-0.3936614
0.12872282,0.4836778,-0.15504663,-0.43798345,-0.45412943,0.37021422
1.0159698,0.97002,0.9265246,0.45658135,0.5643187,0.81634325
0.7618883,0.5326313,0.32057032,0.07778642,0.22943914,0.9543544
-0.27481833,0.100563556,0.27026466,0.114143975,0.23807006,-0.050238334
1.6898972,1.4223077,1.2203553,0.66035277,0.82583547,1.7503257
-0.49493164,-0.30915582,0.011876624,0.47264633,0.52030104,-0.28132677
-1.6009332,-1.693688,-2.2907495,-2.5289652,-2.5471268,-2.2648358
0.93444633,1.1073027,0.80762035,0.67472667,0.5530985,1.3362923
0.03225339,0.073958404,-0.14704347,-0.37287807,-0.19088648,0.5467401
0.91814166,0.5379523,0.9653971,1.0306923,1.1926495,0.6013026
0.45617542,0.7539861,1.1037376,1.3249348,1.0700904,0.48575842
-0.47998568,-0.47836462,-0.28195402,0.08793272,0.03610662,-0.1786208
0.24013822,-0.03884746,0.29084423,0.40923196,0.5893484,0.23541264
0.92357653,0.68906957,-0.14361352,-0.46334916,-0.6647238,0.437615
1.3339113,1.2052096,1.0488588,0.70262897,0.9518469,1.5320755
0.9371638,1.5085084,1.3918517,1.1837323,1.1020248,0.7970859
1.74017,1.145614,1.30839,1.0949522,1.2314886,0.93188745
0.19394158,0.18463585,0.16279353,0.021981811,0.16298108,0.6526556
-0.23133914,0.1612233,0.253115,0.15557466,0.114647955,-0.06628614
-0.8482,-0.8976619,-0.4660269,0.10484321,0.07149338,-0.8205331
-0.6579786,-0.6741786,-0.43401423,-0.035513848,-0.05365491,-0.40649965
1.2401593,1.3020524,1.3141066,0.81339264,0.79476416,1.0024978
0.19530031,-0.15271752,-0.8547523,-1.1693621,-1.2360904,-0.48352912
-1.0166818,-0.9593859,-0.48889312,-0.48533282,-0.5904979,-1.1896327
0.80129135,1.2084023,0.68071294,0.47010976,0.41673002,1.5609615
1.1708643,1.1126237,0.8865087,0.39063042,0.7334846,1.6123145
-1.6484886,-1.8990799,-2.5388477,-2.7369642,-2.7516794,-2.3258173
-0.14845695,0.08460046,-0.107027605,-0.17756194,-0.18225557,0.3316995
-1.124021,-1.161585,-0.4397308,0.39063042,0.14830853,-0.89114344
-0.85499364,-0.9987615,-0.14704347,0.6121578,0.378754,-0.83979046
2.3977926,2.8909123,2.319076,2.1713047,1.9832413,2.209293
0.42628348,0.14632443,0.37316257,0.4819471,0.6592588,0.37663335
-0.5981947,-0.77102137,-0.7529977,-0.4946336,-0.55597425,-0.47711
-1.1321734,-1.32228,-0.7072653,-0.015221261,-0.02776216,-1.054831
-0.8359715,-0.9178818,-0.6855424,-0.35681313,-0.3436537,-0.6022829
-0.74765444,-0.75080144,-0.3585558,0.04650202,-0.08127384,-0.71461755
0.4996546,0.9061676,0.86021256,0.8691972,0.8016689,0.79066676
0.09611343,-0.051617935,-0.8901949,-1.1363866,-1.2093346,-0.10480088
0.26323652,0.1431318,0.033599515,0.021981811,0.16298108,0.66870344
-0.34003708,-0.45069525,-0.42258114,-0.18939929,-0.2305887,-0.23960246
-1.5166923,-1.6202579,-2.0838103,-2.2727714,-2.3123658,-2.1396627
0.4942197,1.2552273,1.2295017,1.157521,1.0105371,0.8676962
-0.9242886,-1.0455866,-0.53919876,0.03297363,-0.1891603,-0.9200295
-0.38895115,-0.040975872,0.051892474,-0.076099016,-0.019994337,-0.1786208
-0.49493164,-0.0452327,-0.03842901,-0.16065145,-0.23835653,-0.13368693
0.40318516,0.08353626,0.3560129,0.3720289,0.52289027,0.3798429
-0.4650397,-0.04736111,0.6246908,1.0704321,0.8111629,-0.33267975
-1.5289209,-1.6649545,-1.9180305,-2.104512,-2.1906698,-2.0883098
1.098852,0.99449676,0.83277315,0.3787931,0.7818178,1.3330827
-0.2802532,-0.08567253,0.53093934,0.96812356,0.8111629,-0.11122
-0.08731436,-0.2857433,-0.028139222,0.04058335,0.3252423,0.033210266


0,1,2,3,4,5
1.1059022,0.6027472,0.776373,1.0678197,1.6726719,1.7031846
0.34576747,-0.9422987,-1.0182223,-0.7674464,0.13974659,1.0079134
-0.20510401,0.39229536,0.40582904,0.3644135,-0.14462215,-0.15087192
0.7699498,0.38796508,0.60442126,0.91769224,1.2683351,1.2152749
1.0957218,0.77769077,0.96406686,1.1437268,1.5260442,1.593405
-0.27862895,-0.5023417,-0.4636173,-0.278267,0.12197355,0.019896436
0.44757122,0.36717972,0.5402421,0.58876127,0.5574132,0.33703765
-0.74127054,0.6538446,0.3646575,0.030422064,-0.62005115,-0.9071318
-0.9188615,-0.1905611,-0.738498,-0.98336005,-1.3665191,-1.3828436
-0.3544162,0.056265183,0.069191046,0.1265711,-0.07352996,-0.1996629
0.4984731,0.44252667,0.490594,0.5465906,0.61961883,0.61758566
0.8774093,1.2886645,1.3551966,1.2381891,0.71292734,0.6785744
0.48716158,0.2260124,0.373134,0.5111673,0.7706897,0.83714503
-0.52974486,-1.6706527,-1.5873586,-1.3949454,-0.6111646,0.21506026
-0.11121831,0.84437716,0.6916081,0.38634223,-0.10018953,-0.30944255
0.061848085,-0.22000705,-0.25412676,-0.2192281,0.077540934,0.10528062
2.9802225,1.9442698,1.8783175,1.9264139,2.18809,2.3618627
0.9588523,0.5377929,0.7485217,0.9514288,1.3305407,1.4104388
-0.13836598,-0.24339058,-0.032526914,0.12151063,0.23749836,0.068687394
0.71565443,-0.60020614,-0.75060725,-0.52623034,0.35302314,1.166484
0.8344255,-0.34298715,-0.37643048,-0.25296462,0.7173706,1.544614
1.5289534,0.9803481,1.2885956,1.4001243,1.7793101,2.0691168
-0.7390082,-0.1784363,-0.22869726,-0.20067303,-0.62005115,-0.72416574
0.8344255,0.8010743,0.7025064,0.7625043,0.7307004,0.62978345
0.119536884,-0.69893664,-0.9128716,-0.7337099,-0.24681716,-0.0044990433
-0.017332619,0.64864826,0.50512516,0.36947396,-0.14017889,-0.34603578
-0.45621994,0.24852988,0.07766754,0.084400475,-0.2557037,-0.4436177
-0.20962861,-0.355978,-0.105182596,0.099581905,0.3130338,-0.0044990433
-0.33631775,0.03894404,0.025597632,0.104642384,-0.1268491,-0.28504708
-1.5296841,-2.4864786,-2.4761798,-2.4677663,-2.095214,-1.6999848
-1.1179445,-1.8802385,-2.0087616,-1.9077402,-1.5398062,-1.3828436
0.038093872,0.38796508,0.47848472,0.58201396,0.30414727,0.080885135
-0.37025234,-1.4290228,-1.5231794,-1.2853018,-0.6733703,-0.06548774
0.5991457,0.6209344,0.6141087,0.67478937,0.5218671,0.5931902
0.9882623,1.0444363,1.0367225,1.0408305,0.9350904,0.83714503
-0.7684182,-0.24339058,-0.24686117,-0.25296462,-0.52674264,-0.6265838
-0.6790571,-0.084036075,-0.06037826,-0.13151318,-0.6022781,-0.9071318
-0.33405542,-0.4044772,-0.15119787,-0.15344192,0.033108316,-0.04109226
-0.6168437,-0.19575745,-0.20568962,-0.16187604,-0.4600937,-0.49240866
-1.7332916,-2.6484313,-2.5936396,-2.5959651,-2.1263168,-1.7975668
-0.16551365,0.3022254,0.4433678,0.42513922,0.06865441,0.044291917
-0.2220713,0.70580804,0.29684553,5.9205082e-05,-0.5756185,-0.77295667
1.104771,0.7690302,0.7533654,0.8029881,0.96175,0.84934276
-0.56481063,0.2623868,0.20723684,-0.102837145,-0.54895896,-0.6997702
-1.7638328,-2.7895987,-2.7086778,-2.6684985,-2.2596147,-1.9073464
1.1432302,0.5585783,0.9580122,1.0948089,1.5127144,1.5324162
0.81632704,0.55598015,0.5450858,0.7827462,0.97063655,0.5200038
-0.9313042,0.050202783,0.042550627,-0.24959096,-0.8333277,-0.9681205
0.78239244,0.43906245,0.61289775,0.81310904,0.8373387,0.61758566
0.5652111,-0.5742244,-0.65131116,-0.4958675,0.13530333,0.6541789
-0.019594925,-0.33086234,-0.14998694,-0.026930002,0.16196291,-0.06548774
-0.65417176,0.11342496,-0.33162615,-0.61900574,-0.9266362,-1.1266911
-0.286547,-0.12733893,-0.21658798,-0.27320653,-0.23793064,-0.18746515
-0.537663,0.8166633,0.39735255,-0.047171906,-0.64226747,-0.8705386
0.71112984,1.2834681,1.3043376,1.1336058,0.54852664,0.37363088
-1.1824201,-0.6824816,-0.49752328,-0.6662369,-1.024388,-1.175482
-0.33179313,0.025953183,-0.008308354,0.0051196814,-0.32679588,-0.67537475
0.3932759,0.35592097,0.34649357,0.4183919,0.5396401,0.3126422
0.00981505,0.18877192,0.21450241,0.30874825,0.117530294,0.21506026
-0.25148126,0.095237754,0.015910208,-0.092716195,-0.38900155,-0.4436177
0.9554589,1.068686,1.0052384,0.9649233,0.82845217,0.45901507
-0.82950044,-0.5456445,-0.27107975,-0.35586098,-0.5311859,-0.614386
0.78465474,1.2713434,1.349142,1.1622819,0.74847347,0.78835404
2.6804671,1.8680567,2.0248399,1.9567769,2.2236364,2.5936196
0.79483515,0.43906245,0.58262455,0.72033364,0.7040408,0.6785744
-0.029775301,0.19050404,0.32348594,0.3711608,0.06421115,-0.16306967
-0.40871152,-1.3675327,-1.530445,-1.3274724,-0.8777603,-0.28504708
-0.2774978,0.07185421,0.0716129,-0.19392572,-0.35345545,-0.33383805
0.71339214,0.52393603,0.6710223,0.7962408,0.97952306,0.78835404
-1.063649,-0.5950098,-1.1877522,-1.3983191,-1.5575794,-1.3950415
-0.23677629,0.25459227,0.20239313,0.17380223,0.024221795,-0.07768548
-0.54331875,0.28490427,0.17333086,-0.0066880966,-0.54895896,-0.55339736
-0.38608846,-0.23386395,-0.53021836,-0.55490637,-0.70447314,-0.71196795
4.5627055,2.4396544,1.9594496,1.7509841,2.050349,2.532631
0.027913498,-0.2226052,-0.057956405,0.21091238,0.4774345,0.044291917
-1.6575044,-2.5808787,-2.5645773,-2.5892177,-2.2551713,-1.7975668
-0.06031643,-0.031206587,-0.002253713,0.10126873,0.17973596,0.080885135
0.84686816,1.1682825,1.1275421,1.1083035,0.8240089,0.6541789
-0.33405542,0.42347342,0.012277424,-0.2850143,-0.70891637,-0.80954987
0.1817503,0.100434095,0.42036018,0.6292451,0.9173174,0.8615405
0.76542515,0.5282663,0.4518443,0.56177205,0.71292734,0.70296985
-0.8973696,-0.13946374,-0.053112693,-0.22934906,-0.5933916,-0.6265838
0.7066052,1.0522308,1.0246133,1.0172149,0.6862678,0.7151676
-0.16325134,0.040676154,0.017121136,0.10632921,-0.060200173,-0.04109226
-0.38382617,0.55424803,0.2907909,0.042229842,-0.5978348,-0.72416574
0.23717679,0.45205328,0.558406,0.50779366,0.2330551,0.30044445
0.7699498,0.6122739,0.6807097,0.75913066,0.5574132,0.66637665
-0.11574292,-1.2298297,-1.1804867,-1.0373385,-0.32679588,0.43461958
-0.9867307,-0.38888818,-0.8426378,-1.0677013,-1.3265297,-1.5292165
0.87854046,0.8166633,0.7787949,0.7928672,0.69959754,0.6785744
0.62403107,0.9595628,1.0149258,0.8873294,0.45966142,0.5322015
-0.047873747,0.17837924,0.21450241,0.32055604,0.024221795,0.019896436
-0.8645662,0.054533068,-0.048268978,-0.3305586,-0.72224617,-0.9315273
-1.0104849,-0.7483019,-0.64283466,-0.71346796,-0.8688738,-0.85834086
-1.7208489,-2.7618847,-2.6602407,-2.6904273,-2.2507281,-1.8463577
-1.8509315,-2.7618847,-2.6602407,-2.6718721,-2.2685013,-1.9439396
4.5344267,2.6059375,2.6629992,2.4459562,3.085629,3.3620772
-0.5580237,-1.4662633,-1.3209544,-1.1469821,-0.75779223,-0.29724482
-1.8203905,-2.7740095,-2.655397,-2.6904273,-2.299604,-1.8585554
0.07994653,0.4139468,0.47969565,0.4892386,0.23749836,0.23945574
-1.8294396,-2.7740095,-2.652975,-2.6988614,-2.2729445,-1.8219622
1.1432302,0.6365234,0.9362155,1.0475777,1.521601,1.825162
-0.0014964791,-0.096160874,0.011066496,0.24296206,0.3130338,0.15407158
2.3965476,2.1573198,2.057535,1.9584637,2.081452,2.3862581
-1.6247009,-2.3920784,-2.4325864,-2.4171615,-2.1352034,-1.7731713
-1.513848,-2.4353812,-2.422899,-2.423909,-2.0552247,-1.736578
-0.6179749,0.032015584,-0.105182596,-0.14838144,-0.34012565,-0.43141994
-0.026381843,0.22428028,0.22661169,0.25308302,0.11308703,-0.04109226
-0.03656222,-0.21048042,-0.16330715,0.052350793,0.23749836,0.044291917
1.0131477,0.8833497,0.9350046,0.92612636,0.82845217,0.5322015
-1.5715368,-2.2976782,-2.4313755,-2.4289694,-2.0996573,-1.7731713
-0.0014964791,0.103898324,0.33196244,0.359353,0.41078556,0.33703765
-0.19944824,0.086577184,0.19028385,0.24633572,-0.006881037,-0.24845386
-0.3781704,-0.16371334,-0.08096404,-0.07922159,-0.23348738,-0.34603578
0.7812613,0.5248021,0.5499295,0.8029881,1.1572535,0.8737382
0.86270434,1.3631454,1.4472271,1.258431,0.85066843,0.92252916
0.3061771,1.1241137,1.0984799,0.9834784,0.4507749,0.23945574
-0.06710335,0.10476438,0.18907292,0.23790158,0.13974659,0.1296761
-0.574991,-0.1948914,-0.16693993,-0.09946349,-0.34012565,-0.4802109
1.8728238,1.0929356,1.2510568,1.5502517,1.9881434,2.2886763
-0.28767815,-1.2003838,-1.4759532,-1.1874659,-0.69558656,-0.22405837
-0.42228538,-0.5646978,-0.5108435,-0.33393225,0.0064487485,-0.028894523
0.1987176,-0.1403298,-0.22869726,-0.14163414,0.028665056,0.080885135
0.9158685,0.6477822,0.7134048,0.89913714,1.2861081,1.0932976
0.07315961,0.0701221,0.11399538,0.29694048,0.38856924,0.30044445
-0.79104125,1.1492293,0.9010986,0.4048973,-0.566732,-0.8217476
0.9181308,0.71706676,0.66981137,0.8603402,1.2283458,1.2152749
0.17609453,0.614006,0.57778084,0.59382176,0.10864377,0.2516535
0.8547862,0.4763029,0.7448889,0.92443955,1.3127676,1.3128569
-1.4980118,-2.3028746,-2.3671963,-2.278842,-1.8641644,-1.4316347
-0.31256354,0.51267725,0.13215931,-0.24790414,-0.62005115,-0.80954987
-0.16664481,-0.98906577,-0.9952147,-0.9091397,-0.54451567,-0.15087192
3.5627663,2.4309938,2.0865972,1.9905133,1.8992782,1.9105462
-1.0874033,-0.98906577,-1.3512276,-1.4354292,-1.4909304,-1.553612
-0.15193982,-1.3034445,-1.1308386,-0.90576607,-0.05575691,0.78835404
0.66249025,1.0643557,1.1335968,1.0897484,0.7040408,0.6419812
-0.6575652,-0.47722602,-0.5132654,-0.53297764,-0.8111114,-0.8461431
-0.36233425,0.03547981,-0.064011045,-0.1922389,-0.17572498,-0.37043124
1.6058718,0.8816176,1.196565,1.3124094,1.5882499,1.9959304
-0.7831232,-0.3152733,-0.35221192,-0.3389927,-0.566732,-0.7851544
-0.16098905,0.2112894,0.21329148,0.3104351,0.028665056,0.019896436
-0.8181889,-0.3940845,-0.36553213,-0.31031668,-0.4956398,-0.5290019
0.68171984,0.98641056,1.113011,0.9817916,0.6018458,0.34923542
0.00981505,-0.013885445,0.069191046,0.14849983,0.17529269,0.23945574
0.018864274,-0.44864613,-0.6222489,-0.6476818,-0.36678523,-0.2606516
-0.5489745,0.30742177,0.24598654,0.05066397,-0.4734235,-0.63878155
-0.7333524,-0.23732817,-0.0967061,-0.12476588,-0.43343416,-0.5655951
-0.781992,-0.1056875,-0.14756508,-0.24621731,-0.5311859,-0.6997702
-0.8736154,-0.06498282,-0.14877601,-0.47562557,-0.9621823,-0.98031825
-0.9392223,0.3533228,0.023175776,-0.2917616,-0.7888951,-0.80954987
-0.30917007,-0.18276659,-0.16209622,-0.18043113,-0.17572498,-0.16306967
0.9531965,0.44512483,0.41551647,0.6191241,0.7662465,0.5687947
6.33296,2.9436996,2.0260508,1.944969,2.4369128,2.9107609
-0.6304175,0.38190266,-0.23838468,-0.53803813,-0.9488525,-1.1876799
1.0482134,0.5282663,0.68555343,0.82491684,1.2239025,1.3494501
-0.14967752,-0.0996251,-0.08580775,-0.06572699,-0.05131365,-0.21186063
-0.12931676,0.6936832,0.473641,0.24127524,-0.22460085,-0.55339736
0.81293356,0.5005525,0.6661786,0.8805821,1.3216542,1.1908795
-0.2673174,0.029417412,-0.059167333,-0.09102937,-0.24681716,-0.22405837
0.3333248,0.35592097,0.3174313,0.4116446,0.5396401,0.54439926
0.63081795,1.2185138,1.2401584,1.2280681,0.81956565,0.507806
-0.17343172,0.09350564,-0.02889413,-0.067413814,-0.17572498,-0.29724482
-0.796697,-0.3603083,-0.73728704,-0.80624336,-0.8955334,-0.8827363
5.0185604,2.3080137,2.007887,1.9247271,2.7523844,3.3010886
0.3808332,0.16452232,0.33801708,0.50104636,0.65072167,0.5200038
1.2721816,0.76816416,0.96406686,1.1217982,1.557147,1.4714274
-1.6303567,-2.6068606,-2.652975,-2.5807836,-2.1396465,-1.8829509
-0.36685887,-0.02427813,0.030441346,0.074279524,-0.05575691,-0.08988322
0.16138954,-0.034670815,0.12852652,0.24127524,0.4774345,0.22725801
-0.29333392,-0.1602491,-0.12576838,-0.09102937,-0.14462215,-0.2606516
0.44417778,0.11688918,0.14426859,0.43188652,0.588516,0.37363088
-0.41097385,0.2095573,0.20844777,0.20922555,0.05532463,-0.07768548
0.9588523,0.6365234,0.8187555,0.9413078,1.2239025,1.3616478
-0.09651332,-0.36637068,-0.2347519,-0.22597541,0.01089201,0.16626932
-1.7423408,-2.7584205,-2.6602407,-2.655004,-2.215182,-1.8463577
0.13876648,0.447723,0.48817214,0.45887572,0.197509,0.056489654
-0.32839966,0.38190266,0.14547952,-0.15344192,-0.69114333,-0.7485612
0.71565443,0.7543072,0.9664887,0.8687743,0.7084841,0.4956083
1.3479689,0.93358105,1.1287531,1.2854202,1.5971364,1.9349416
-0.31482583,-0.5499748,-0.43455502,-0.22934906,0.11308703,0.22725801
1.140968,0.993339,0.93379366,0.83672464,0.8462252,0.4712128
-0.5998764,0.44512483,0.2605177,-0.062353335,-0.69114333,-0.6265838
0.89550775,0.49882036,0.558406,0.7000918,0.88177127,0.7151676
0.10256959,0.7690302,0.6807097,0.46224937,-0.011324298,-0.27284932
1.2778374,1.0444363,0.9471139,1.0104676,0.96619326,0.6541789
-0.48449877,0.34379616,0.18301828,-0.053919207,-0.5222994,-0.79735214
-0.8656973,-0.597608,-0.34373543,-0.3575478,-0.6467107,-0.6021883
-0.41323614,0.008632041,0.061925475,0.06753223,-0.029097345,-0.27284932
0.2055045,0.16885261,0.2568849,0.36947396,0.5574132,0.5931902
-1.6122583,-2.2985442,-2.4107897,-2.412101,-2.095214,-1.7975668
0.8253763,0.75950354,0.73399055,0.8164827,0.79290605,0.62978345
0.52562076,1.160488,1.2462131,1.1504742,0.5974026,0.5200038
0.52109617,-0.6634283,-0.38006327,-0.2124808,0.65072167,1.2640659
0.76090056,0.9119296,0.9192625,0.92612636,0.7173706,0.6907721
0.49507967,0.44339272,0.5450858,0.66129476,0.82845217,0.83714503
0.72809714,1.3146462,1.3382436,1.2550573,0.690711,0.507806
-0.17003827,0.14633512,0.026808562,-0.06910064,-0.36234197,-0.33383805
1.0832791,1.160488,1.080316,1.0813143,0.9128741,0.8005518
-0.8883204,-0.60973275,-0.40428182,-0.4891202,-0.6822568,-0.9193295
-0.70846707,0.23900326,-0.29650924,-0.5953902,-0.9666256,-1.1388888
-0.14289059,-0.31094304,-0.14272137,0.17717586,0.41078556,0.17846707
0.57539153,0.9890087,1.0355116,0.93118685,0.56185645,0.36143315
-0.39174423,0.0822469,0.09583146,0.1991046,-0.11796258,-0.49240866
-0.17003827,-0.4027451,-0.2395956,0.10801603,0.33969337,0.056489654
1.0470822,1.0149904,0.99434006,0.93287367,0.79290605,0.4712128
0.8989012,0.36804578,0.68676436,0.862027,1.2861081,1.593405
-0.42794114,-1.355408,-1.377868,-1.1436085,-0.70447314,-0.30944255
0.9531965,1.3631454,1.3866807,1.2280681,0.8373387,0.5687947
0.7767367,0.32734108,0.7061392,0.8013013,1.2239025,1.5202185
